辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,I,合せ,合わせる,アワセル,動詞-一般,下一段-サ行,連用形-一般,アワセ,アワセ,和,合せる,アワセル
現代語,I,たり,たり,タリ,助詞-副助詞,,,タリ,タリ,和,たり,タリ
現代語,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,ちょっと,一寸,チョット,副詞,,,チョット,チョット,和,ちょっと,チョット
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,てれ,照れる,テレル,動詞-一般,下一段-ラ行,連用形-一般,テレ,テレ,和,てれる,テレル
現代語,I,くさく,臭い,クサイ,接尾辞-形容詞的,形容詞,連用形-一般,クサク,クサク,和,くさい,クサイ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,押入れ,押し入れ,オシイレ,名詞-普通名詞-一般,,,オシイレ,オシイレ,和,押入れ,オシイレ
現代語,I,から,から,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ
現代語,I,出,出る,デル,動詞-一般,下一段-ダ行,連用形-一般,デ,デ,和,出る,デル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,来,来る,クル,動詞-非自立可能,カ行変格,連用形-一般,キ,キ,和,来る,クル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,急,急,キュウ,名詞-普通名詞-形状詞可能,,,キュー,キュウ,漢,急,キュウ
現代語,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ
現代語,I,むかむか,むかむか,ムカムカ,副詞,,,ムカムカ,ムカムカ,和,むかむか,ムカムカ
現代語,I,腹立たしく,腹立たしい,ハラダタシイ,形容詞-一般,形容詞,連用形-一般,ハラダタシク,ハラダタシク,和,腹立たしい,ハラダタシイ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あの,彼の,アノ,連体詞,,,アノ,アノ,和,あの,アノ
現代語,I,感じ,感ずる,カンズル,動詞-一般,サ行変格,連用形-一般,カンジ,カンジ,混,感ずる,カンズル
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,いや,否,イヤ,感動詞-一般,,,イヤ,イヤ,和,いや,イヤ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,ちがう,違う,チガウ,動詞-一般,五段-ワア行,終止形-一般,チガウ,チガウ,和,ちがう,チガウ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あの,彼の,アノ,連体詞,,,アノ,アノ,和,あの,アノ
